CustomerID LookalikeID  SimilarityScore
0       C0001       C0003              1.0
1       C0001       C0004              1.0
2       C0001       C0006              1.0
3       C0002       C0005              1.0
4       C0002       C0007              1.0
5       C0002       C0021              1.0
6       C0003       C0001              1.0
7       C0003       C0004              1.0
8       C0003       C0006              1.0
9       C0004       C0001              1.0
10      C0004       C0003              1.0
11      C0004       C0006              1.0
12      C0005       C0002              1.0
13      C0005       C0007              1.0
14      C0005       C0021              1.0
15      C0006       C0001              1.0
16      C0006       C0003              1.0
17      C0006       C0004              1.0
18      C0007       C0002              1.0
19      C0007       C0005              1.0
20      C0007       C0021              1.0
21      C0008       C0015              1.0
22      C0008       C0016              1.0
23      C0008       C0018              1.0
24      C0009       C0010              1.0
25      C0009       C0014              1.0
26      C0009       C0017              1.0
27      C0010       C0009              1.0
28      C0010       C0014              1.0
29      C0010       C0017              1.0
30      C0011       C0001              1.0
31      C0011       C0003              1.0
32      C0011       C0004              1.0
33      C0012       C0001              1.0
34      C0012       C0003              1.0
35      C0012       C0004              1.0
36      C0013       C0001              1.0
37      C0013       C0003              1.0
38      C0013       C0004              1.0
39      C0014       C0009              1.0
40      C0014       C0010              1.0
41      C0014       C0017              1.0
42      C0015       C0008              1.0
43      C0015       C0016              1.0
44      C0015       C0018              1.0
45      C0016       C0008              1.0
46      C0016       C0015              1.0
47      C0016       C0018              1.0
48      C0017       C0009              1.0
49      C0017       C0010              1.0
50      C0017       C0014              1.0
51      C0018       C0008              1.0
52      C0018       C0015              1.0
53      C0018       C0016              1.0
54      C0019       C0009              1.0
55      C0019       C0010              1.0
56      C0019       C0014              1.0
57      C0020       C0008              1.0
58      C0020       C0015              1.0
59      C0020       C0016              1.0

